Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
BANC,"Banc Of California, Inc.",Financials,Regional Banks,"Santa Ana, California",1169770
BANF,Bancfirst Corp,Financials,Regional Banks,"Oklahoma City, Oklahoma",760498
BANR,Banner Corporation,Financials,Regional Banks,"Walla Walla, Washington",946673
BCC,Boise Cascade,Industrials,Building Products,"Boise, Idaho",1328581
BCPC,Balchem Corporation,Materials,Specialty Chemicals,"Montvale, New Jersey",9326
BDN,Brandywine Realty Trust,Real Estate,Office REITs,"Philadelphia, Pennsylvania",790816
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance,"Columbus, Ohio",1101215
BFS,"Saul Centers, Inc.",Real Estate,Retail REITs,"Bethesda, Maryland",907254
BGC,"BGC Group, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York",1094831
BGS,B&G Foods,Consumer Staples,Packaged Foods & Meats,"Parsippany, New Jersey",1278027
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,"Tempe, Arizona",863436
BHLB,"Berkshire Hills Bancorp, Inc.",Financials,Regional Banks,"Boston, Massachusetts",1108134
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,"Huntington Beach, California",1013488
BKE,"The Buckle, Inc.",Consumer Discretionary,Apparel Retail,"Kearney, Nebraska",885245
BKU,"BankUnited, Inc.",Financials,Regional Banks,"Miami Lakes, Florida",1504008
BL,"BlackLine Systems, Inc.",Information Technology,Application Software,"Woodland Hills, Los Angeles, California",1666134
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies,"Bothell, Washington",834365
BLMN,"Bloomin' Brands, Inc.",Consumer Discretionary,Restaurants,"Tampa, Florida",1546417
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,"Milwaukee, Wisconsin",9092
BOH,Bank of Hawaii,Financials,Regional Banks,"Honolulu, Hawaii",46195
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,Apparel Retail,"Irvine, California",1610250
BOX,"Box, Inc.",Information Technology,Application Software,"Redwood City, California",1372612
BRC,Brady Corporation,Industrials,Commercial Printing,"Milwaukee, Wisconsin",746598
BRKL,"Brookline Bancorp, Inc.",Financials,Regional Banks,"Boston, Massachusetts",1049782
BSIG,"BrightSphere Investment Group, Inc.",Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1748824
BTU,"Peabody Energy, Inc.",Energy,Coal & Consumable Fuels,"St. Louis, Missouri",1064728
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",908255
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,Mortgage REITs,"New York City, New York",1061630
CABO,Cable One,Communication Services,Cable & Satellite,"Phoenix, Arizona",1632127
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,"Calabasas, California",887596
CAL,"Caleres, Inc.",Consumer Discretionary,Apparel Retail,"Clayton, Missouri",14707
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Jackson, Mississippi",16160
CALX,Calix,Information Technology,Application Software,"San Jose, California",1406666
CARG,CarGurus,Communication Services,Interactive Media & Services,"Cambridge, Massachusetts",1494259
CARS,Cars.com,Communication Services,Interactive Media & Services,"Chicago, Illinois",1683606
CASH,"Pathward Financial, Inc.",Financials,Regional Banks,"Sioux Falls, South Dakota",907471
CATY,Cathay General Bancorp,Financials,Regional Banks,"Los Angeles, California",861842
CBRL,Cracker Barrel,Consumer Discretionary,Restaurants,"Lebanon, Tennessee",1067294
CBU,"Community Bank System, Inc.",Financials,Regional Banks,"DeWitt, New York",723188
CC,Chemours,Materials,Diversified Chemicals,"Wilmington, Delaware",1627223
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Alternative Carriers,"Washington, D.C.",1158324
CCS,"Century Communities, Inc.",Consumer Discretionary,Homebuilding,"Greenwood Village, Colorado",1576940
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",1306830
CENT,Central Garden & Pet Company,Consumer Staples,Household Products,"Walnut Creek, California",887733
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,Household Products,"Walnut Creek, California",887733
CENX,Century Aluminum Company,Materials,Aluminum,"Chicago, Illinois",949157
CERT,"Certara, Inc.",Health Care,Health Care Technology,"Princeton, New Jersey",1827090
CEVA,"CEVA, Inc.",Information Technology,Semiconductors,"Rockville, Maryland",1173489
CFFN,Capitol Federal Savings Bank,Financials,Regional Banks,"Topeka, Kansas",1490906
CHCO,City Holding Company,Financials,Regional Banks,"Charleston, West Virginia",726854
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,"Ridgefield, Connecticut",1517175
CLB,Core Laboratories,Energy,Oil & Gas Equipment & Services,"Amsterdam, the Netherlands",1958086
CLSK,"CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,"Henderson, Nevada",827876
CNK,"Cinemark Holdings, Inc.",Communication Services,Movies & Entertainment,"Plano, Texas",1385280
CNMD,CONMED Corporation,Health Care,Health Care Equipment,"Largo, Florida",816956
CNR,"Core Natural Resources, Inc.",Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",1710366
CNS,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",1284812
CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,"Merrimack, New Hampshire",1050377
COHU,"Cohu, Inc.",Information Technology,Semiconductor Equipment,"Poway, California",21535
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,"Stoughton, Massachusetts",1267565
CON,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,"Mechanicsburg, Pennsylvania",2014596
COOP,"Mr. Cooper Group, Inc.",Financials,Commercial & Residential Mortgage Finance,"Coppell, Texas",933136
