Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
WSO,Watsco,Industrials,Trading Companies & Distributors,"Miami, Florida"
WTFC,Wintrust Financial,Financials,Regional Banks,"Rosemont, Illinois"
WTRG,Essential Utilities,Utilities,Water Utilities,"Bryn Mawr, Pennsylvania"
WTS,Watts Water Technologies,Industrials,Building Products,"North Andover, Massachusetts"
WU,Western Union,Financials,Transaction & Payment Processing Services,"Denver, Colorado"
WWD,"Woodward, Inc.",Industrials,Electrical Components & Equipment,"Fort Collins, Colorado"
X,U.S. Steel,Materials,Steel,"Pittsburgh, Pennsylvania"
XPO,"XPO, Inc.",Industrials,Cargo Ground Transportation,"Greenwich, Connecticut"
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina"
YETI,Yeti Holdings,Consumer Discretionary,Leisure Products,"Austin, Texas"
ZI,ZoomInfo,Communication Services,Interactive Media & Services,"Vancouver, Washington"
ZION,Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah"
